epoch,accuracy,loss,val_accuracy,val_loss
0,0.35399943590164185,1.3353204727172852,0.4495677351951599,1.293787956237793
1,0.6515361070632935,0.9948766827583313,0.6282420754432678,0.9146803021430969
2,0.7915859222412109,0.5690550208091736,0.680115282535553,0.7798649072647095
3,0.844173789024353,0.41133254766464233,0.6974063515663147,0.8002417683601379
4,0.8784943222999573,0.32865288853645325,0.6858789920806885,0.8221180438995361
5,0.9034043550491333,0.2750374674797058,0.6974063515663147,0.8601669669151306
6,0.9202878475189209,0.22843444347381592,0.6887608170509338,0.9277978539466858
7,0.9366177916526794,0.19262942671775818,0.6974063515663147,1.0148565769195557
8,0.947135329246521,0.1642552614212036,0.6714697480201721,1.0742279291152954
9,0.9584832787513733,0.14094339311122894,0.6829971075057983,1.1255766153335571
10,0.9640188217163086,0.12234300374984741,0.6772334575653076,1.1735566854476929
11,0.9662330746650696,0.11517595499753952,0.680115282535553,1.2326843738555908
12,0.9695543646812439,0.10578501969575882,0.6599423885345459,1.280066728591919
13,0.9698311686515808,0.09984331578016281,0.651296854019165,1.372392177581787
14,0.9725989699363708,0.09466344863176346,0.6772334575653076,1.3579139709472656
15,0.9731525182723999,0.08577941358089447,0.6599423885345459,1.39646577835083
16,0.974259614944458,0.08100146055221558,0.6685879230499268,1.469605565071106
17,0.9761970639228821,0.0770445168018341,0.6657060384750366,1.454842448234558
18,0.9767506122589111,0.07210579514503479,0.6772334575653076,1.4833922386169434
19,0.9767506122589111,0.07033196091651917,0.651296854019165,1.5499026775360107
20,0.975089967250824,0.07487110793590546,0.6772334575653076,1.492116093635559
21,0.974259614944458,0.07022928446531296,0.6772334575653076,1.533371090888977
22,0.9789648652076721,0.0653291642665863,0.6714697480201721,1.5688990354537964
23,0.9781345129013062,0.0623830147087574,0.6714697480201721,1.6881228685379028
24,0.9781345129013062,0.059845127165317535,0.651296854019165,1.6869680881500244
